2020/01/26 18:09:27
number,Time,TimeDifference,Distance
1,2.186745,2.186745,0
2,6.008148,3.821404,9.318813
3,10.60797,4.599823,5.745168
4,12.20886,1.600891,12.01851
5,14.07356,1.8647,12.81953
6,14.84776,0.7742004,11.93152
7,15.92538,1.077621,5.888431
8,17.78116,1.855774,10.02532
9,18.26848,0.4873199,2.136001
10,19.68443,1.415955,6.146364
11,20.47469,0.7902527,2.5
12,21.62199,1.147308,4.021643
13,23.80222,2.180222,10.48941
14,26.49609,2.693878,3.75
15,27.84401,1.347916,3.059593
16,28.96098,1.116974,6.978141
17,30.21391,1.25293,8.276894
18,31.03534,0.8214264,9.386753
19,32.34863,1.313293,4.693377
20,32.93886,0.5902252,5.888431
21,34.13268,1.193817,6.046693
22,34.92819,0.795517,3.431877
23,35.90501,0.9768219,7.236098
24,36.88318,0.9781647,14.23635
25,37.62589,0.7427063,5.260572
Click count,3
